,"HA-acc-nb","NA-acc-nb","longitude","latitude","date"
"1","GQ243757","GQ243758",130.83,-12.45,"2009-05-29"
"2","GQ160611","GQ160610",153.03,-27.47,"2009-05-07"
"3","GQ243751","GQ243752",144.96,-37.81,"2009-05-19"
"4","GQ243761","GQ243762",144.96,-37.81,"2009-05-21"
"5","GQ243755","GQ243756",115.86,-31.95,"2009-05-26"
"6","GQ247724","GQ368663",-46.63,-23.55,"2009-04-29"
"7","GQ356787","GQ367490",-46.63,-23.55,"2009-06-01"
"8","GQ368667","GQ368668",-47.92,-15.83,"2009-06-05"
"9","GQ368665","GQ368666",-37.76,-6.51,"2009-05-28"
"10","FJ998207","FJ998213",-63.2,44.85,"2009-04-24"
"11","FJ998209","FJ998215",-79.38,43.65,"2009-04-24"
"12","GQ465673","GQ465697",-114.06,51.05,"2009-04-28"
"13","GQ465679","GQ465702",-114.06,51.05,"2009-05-01"
"14","GQ402200","GQ402240",-98.81,53.76,"2009-05-20"
"15","GQ402201","GQ402241",-98.81,53.76,"2009-05-24"
"16","GQ402202","GQ402242",-98.81,53.76,"2009-05-22"
"17","GQ402203","GQ402243",-98.81,53.76,"2009-05-21"
"18","GQ402204","GQ402244",-98.81,53.76,"2009-05-28"
"19","GQ402205","GQ402245",-98.81,53.76,"2009-05-29"
"20","GQ402206","GQ402246",-98.81,53.76,"2009-05-30"
"21","GQ402187","GQ402227",-98.81,53.76,"2009-05-24"
"22","GQ465674","GQ465698",-63.2,44.85,"2009-04-29"
"23","GQ465675","GQ465699",-63.2,44.85,"2009-04-29"
"24","GQ465676","GQ465707",-63.2,44.85,"2009-04-30"
"25","GQ465678","GQ465701",-79.38,43.65,"2009-04-27"
"26","GQ465677","GQ465700",-73.55,52.94,"2009-04-26"
"27","GQ465680","GQ465703",-73.55,52.94,"2009-05-08"
"28","GQ402194","GQ402234",-73.55,52.94,"2009-04-16"
"29","GQ402195","GQ402235",-73.55,52.94,"2009-05-07"
"30","GQ402199","GQ402239",-73.55,52.94,"2009-05-17"
"31","GQ402196","GQ402236",-106.45,52.94,"2009-05-04"
"32","GQ465681","GQ465704",-106.45,52.94,"2009-04-30"
"33","GQ402197","GQ402237",-106.45,52.94,"2009-05-08"
"34","GQ465682","GQ465705",-106.45,52.94,"2009-05-07"
"35","GQ465683","GQ465706",-106.45,52.94,"2009-05-07"
"36","GQ402198","GQ402238",-106.45,52.94,"2009-05-06"
"37","GQ465672","GQ465696",-106.45,52.94,"2009-07-01"
